mask_id,date,event_description_norm,team_away,team_home,game_key,wager_amount
100897,2025-02-22,San Antonio Spurs @ New Orleans Pelicans,San Antonio Spurs,New Orleans Pelicans,San Antonio Spurs @ New Orleans Pelicans,0
101293,2025-02-22,San Antonio Spurs @ New Orleans Pelicans,San Antonio Spurs,New Orleans Pelicans,San Antonio Spurs @ New Orleans Pelicans,0
100245,2025-02-22,Washington Wizards @ Orlando Magic,Washington Wizards,Orlando Magic,Washington Wizards @ Orlando Magic,0
100897,2025-02-22,Washington Wizards @ Orlando Magic,Washington Wizards,Orlando Magic,Washington Wizards @ Orlando Magic,0
101293,2025-02-22,Washington Wizards @ Orlando Magic,Washington Wizards,Orlando Magic,Washington Wizards @ Orlando Magic,0
100245,2025-02-23,Brooklyn Nets @ Washington Wizards,Brooklyn Nets,Washington Wizards,Brooklyn Nets @ Washington Wizards,0
100245,2025-02-23,Charlotte Hornets @ Sacramento Kings,Charlotte Hornets,Sacramento Kings,Charlotte Hornets @ Sacramento Kings,0
100245,2025-02-23,Chicago Bulls @ Philadelphia 76Ers,Chicago Bulls,Philadelphia 76Ers,Chicago Bulls @ Philadelphia 76Ers,0
100245,2025-02-23,Dallas Mavericks @ Golden State Warriors,Dallas Mavericks,Golden State Warriors,Dallas Mavericks @ Golden State Warriors,0
100245,2025-02-23,Denver Nuggets @ Indiana Pacers,Denver Nuggets,Indiana Pacers,Denver Nuggets @ Indiana Pacers,10
100245,2025-02-23,Detroit Pistons @ Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Detroit Pistons @ Atlanta Hawks,0
100245,2025-02-23,Los Angeles Clippers @ Detroit Pistons,Los Angeles Clippers,Detroit Pistons,Los Angeles Clippers @ Detroit Pistons,0
100245,2025-02-23,Los Angeles Clippers @ Indiana Pacers,Los Angeles Clippers,Indiana Pacers,Los Angeles Clippers @ Indiana Pacers,0
100245,2025-02-23,Memphis Grizzlies @ Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Memphis Grizzlies @ Cleveland Cavaliers,0
100245,2025-02-23,Miami Heat @ Atlanta Hawks,Miami Heat,Atlanta Hawks,Miami Heat @ Atlanta Hawks,0
100245,2025-02-23,Miami Heat @ Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Miami Heat @ Milwaukee Bucks,10
100245,2025-02-23,New York Knicks @ Boston Celtics,New York Knicks,Boston Celtics,New York Knicks @ Boston Celtics,5.77
100245,2025-02-23,Oklahoma City Thunder @ Minnesota Timberwolves,Oklahoma City Thunder,Minnesota Timberwolves,Oklahoma City Thunder @ Minnesota Timberwolves,12.33
100245,2025-02-23,Phoenix Suns @ Toronto Raptors,Phoenix Suns,Toronto Raptors,Phoenix Suns @ Toronto Raptors,10
100245,2025-02-23,Portland Trail Blazers @ Utah Jazz,Portland Trail Blazers,Utah Jazz,Portland Trail Blazers @ Utah Jazz,0
100245,2025-02-23,San Antonio Spurs @ New Orleans Pelicans,San Antonio Spurs,New Orleans Pelicans,San Antonio Spurs @ New Orleans Pelicans,0
100245,2025-02-23,Washington Wizards @ Orlando Magic,Washington Wizards,Orlando Magic,Washington Wizards @ Orlando Magic,0
100245,2025-02-24,Boston Celtics @ Toronto Raptors,Boston Celtics,Toronto Raptors,Boston Celtics @ Toronto Raptors,0
100245,2025-02-24,Brooklyn Nets @ Washington Wizards,Brooklyn Nets,Washington Wizards,Brooklyn Nets @ Washington Wizards,0
100245,2025-02-24,Charlotte Hornets @ Golden State Warriors,Charlotte Hornets,Golden State Warriors,Charlotte Hornets @ Golden State Warriors,0
100245,2025-02-24,Charlotte Hornets @ Sacramento Kings,Charlotte Hornets,Sacramento Kings,Charlotte Hornets @ Sacramento Kings,0
100245,2025-02-24,Chicago Bulls @ Philadelphia 76Ers,Chicago Bulls,Philadelphia 76Ers,Chicago Bulls @ Philadelphia 76Ers,0
100245,2025-02-24,Cleveland Cavaliers @ Orlando Magic,Cleveland Cavaliers,Orlando Magic,Cleveland Cavaliers @ Orlando Magic,0
100245,2025-02-24,Dallas Mavericks @ Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks @ Los Angeles Lakers,0
100245,2025-02-24,Denver Nuggets @ Indiana Pacers,Denver Nuggets,Indiana Pacers,Denver Nuggets @ Indiana Pacers,0
100245,2025-02-24,Los Angeles Clippers @ Detroit Pistons,Los Angeles Clippers,Detroit Pistons,Los Angeles Clippers @ Detroit Pistons,0
100245,2025-02-24,Miami Heat @ Atlanta Hawks,Miami Heat,Atlanta Hawks,Miami Heat @ Atlanta Hawks,0
100245,2025-02-24,Milwaukee Bucks @ Houston Rockets,Milwaukee Bucks,Houston Rockets,Milwaukee Bucks @ Houston Rockets,0
100245,2025-02-24,Minnesota Timberwolves @ Oklahoma City Thunder,Minnesota Timberwolves,Oklahoma City Thunder,Minnesota Timberwolves @ Oklahoma City Thunder,10
100245,2025-02-24,Phoenix Suns @ Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Phoenix Suns @ Memphis Grizzlies,0
100245,2025-02-24,Portland Trail Blazers @ Utah Jazz,Portland Trail Blazers,Utah Jazz,Portland Trail Blazers @ Utah Jazz,0
100245,2025-02-25,Atlanta Hawks @ Miami Heat,Atlanta Hawks,Miami Heat,Atlanta Hawks @ Miami Heat,0
100245,2025-02-25,Boston Celtics @ Detroit Pistons,Boston Celtics,Detroit Pistons,Boston Celtics @ Detroit Pistons,0
100245,2025-02-25,Boston Celtics @ Toronto Raptors,Boston Celtics,Toronto Raptors,Boston Celtics @ Toronto Raptors,0
100245,2025-02-25,Charlotte Hornets @ Golden State Warriors,Charlotte Hornets,Golden State Warriors,Charlotte Hornets @ Golden State Warriors,0
100245,2025-02-25,Charlotte Hornets @ Sacramento Kings,Charlotte Hornets,Sacramento Kings,Charlotte Hornets @ Sacramento Kings,0
100245,2025-02-25,Cleveland Cavaliers @ Orlando Magic,Cleveland Cavaliers,Orlando Magic,Cleveland Cavaliers @ Orlando Magic,5
100245,2025-02-25,Dallas Mavericks @ Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks @ Los Angeles Lakers,10.48
100245,2025-02-25,Los Angeles Clippers @ Chicago Bulls,Los Angeles Clippers,Chicago Bulls,Los Angeles Clippers @ Chicago Bulls,0
100245,2025-02-25,Milwaukee Bucks @ Houston Rockets,Milwaukee Bucks,Houston Rockets,Milwaukee Bucks @ Houston Rockets,0
100245,2025-02-25,Oklahoma City Thunder @ Brooklyn Nets,Oklahoma City Thunder,Brooklyn Nets,Oklahoma City Thunder @ Brooklyn Nets,0
100245,2025-02-25,Philadelphia 76Ers @ New York Knicks,Philadelphia 76Ers,New York Knicks,Philadelphia 76Ers @ New York Knicks,0
100245,2025-02-25,Phoenix Suns @ Memphis Grizzlies,Phoenix Suns,Memphis Grizzlies,Phoenix Suns @ Memphis Grizzlies,10
100245,2025-02-25,Portland Trail Blazers @ Washington Wizards,Portland Trail Blazers,Washington Wizards,Portland Trail Blazers @ Washington Wizards,0
100245,2025-02-25,Sacramento Kings @ Utah Jazz,Sacramento Kings,Utah Jazz,Sacramento Kings @ Utah Jazz,0
100245,2025-02-25,San Antonio Spurs @ Houston Rockets,San Antonio Spurs,Houston Rockets,San Antonio Spurs @ Houston Rockets,0
100245,2025-02-25,San Antonio Spurs @ New Orleans Pelicans,San Antonio Spurs,New Orleans Pelicans,San Antonio Spurs @ New Orleans Pelicans,0
100245,2025-02-25,Toronto Raptors @ Indiana Pacers,Toronto Raptors,Indiana Pacers,Toronto Raptors @ Indiana Pacers,0
100245,2025-02-26,Atlanta Hawks @ Miami Heat,Atlanta Hawks,Miami Heat,Atlanta Hawks @ Miami Heat,7.31
101293,2025-02-26,Atlanta Hawks @ Miami Heat,Atlanta Hawks,Miami Heat,Atlanta Hawks @ Miami Heat,0.0125
100245,2025-02-26,Boston Celtics @ Detroit Pistons,Boston Celtics,Detroit Pistons,Boston Celtics @ Detroit Pistons,0
101293,2025-02-26,Boston Celtics @ Detroit Pistons,Boston Celtics,Detroit Pistons,Boston Celtics @ Detroit Pistons,0.0125
100245,2025-02-26,Charlotte Hornets @ Dallas Mavericks,Charlotte Hornets,Dallas Mavericks,Charlotte Hornets @ Dallas Mavericks,0
101293,2025-02-26,Charlotte Hornets @ Dallas Mavericks,Charlotte Hornets,Dallas Mavericks,Charlotte Hornets @ Dallas Mavericks,0
100245,2025-02-26,Dallas Mavericks @ Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks @ Los Angeles Lakers,0
101293,2025-02-26,Dallas Mavericks @ Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks @ Los Angeles Lakers,0
100245,2025-02-26,Denver Nuggets @ Milwaukee Bucks,Denver Nuggets,Milwaukee Bucks,Denver Nuggets @ Milwaukee Bucks,0
101293,2025-02-26,Denver Nuggets @ Milwaukee Bucks,Denver Nuggets,Milwaukee Bucks,Denver Nuggets @ Milwaukee Bucks,0.0125
100245,2025-02-26,Golden State Warriors @ Orlando Magic,Golden State Warriors,Orlando Magic,Golden State Warriors @ Orlando Magic,0
101293,2025-02-26,Golden State Warriors @ Orlando Magic,Golden State Warriors,Orlando Magic,Golden State Warriors @ Orlando Magic,0
100245,2025-02-26,Los Angeles Clippers @ Chicago Bulls,Los Angeles Clippers,Chicago Bulls,Los Angeles Clippers @ Chicago Bulls,5
101293,2025-02-26,Los Angeles Clippers @ Chicago Bulls,Los Angeles Clippers,Chicago Bulls,Los Angeles Clippers @ Chicago Bulls,0
100245,2025-02-26,Minnesota Timberwolves @ Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves @ Los Angeles Lakers,0
101293,2025-02-26,Minnesota Timberwolves @ Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves @ Los Angeles Lakers,0
100245,2025-02-26,New Orleans Pelicans @ Phoenix Suns,New Orleans Pelicans,Phoenix Suns,New Orleans Pelicans @ Phoenix Suns,0
101293,2025-02-26,New Orleans Pelicans @ Phoenix Suns,New Orleans Pelicans,Phoenix Suns,New Orleans Pelicans @ Phoenix Suns,0
100245,2025-02-26,Oklahoma City Thunder @ Brooklyn Nets,Oklahoma City Thunder,Brooklyn Nets,Oklahoma City Thunder @ Brooklyn Nets,20
101293,2025-02-26,Oklahoma City Thunder @ Brooklyn Nets,Oklahoma City Thunder,Brooklyn Nets,Oklahoma City Thunder @ Brooklyn Nets,0.0125
100245,2025-02-26,Philadelphia 76Ers @ New York Knicks,Philadelphia 76Ers,New York Knicks,Philadelphia 76Ers @ New York Knicks,0
101293,2025-02-26,Philadelphia 76Ers @ New York Knicks,Philadelphia 76Ers,New York Knicks,Philadelphia 76Ers @ New York Knicks,0.0125
100245,2025-02-26,Portland Trail Blazers @ Washington Wizards,Portland Trail Blazers,Washington Wizards,Portland Trail Blazers @ Washington Wizards,0
101293,2025-02-26,Portland Trail Blazers @ Washington Wizards,Portland Trail Blazers,Washington Wizards,Portland Trail Blazers @ Washington Wizards,0.0125
100245,2025-02-26,Sacramento Kings @ Utah Jazz,Sacramento Kings,Utah Jazz,Sacramento Kings @ Utah Jazz,0
101293,2025-02-26,Sacramento Kings @ Utah Jazz,Sacramento Kings,Utah Jazz,Sacramento Kings @ Utah Jazz,0.0125
100245,2025-02-26,San Antonio Spurs @ Houston Rockets,San Antonio Spurs,Houston Rockets,San Antonio Spurs @ Houston Rockets,0
101293,2025-02-26,San Antonio Spurs @ Houston Rockets,San Antonio Spurs,Houston Rockets,San Antonio Spurs @ Houston Rockets,0
100245,2025-02-26,Toronto Raptors @ Indiana Pacers,Toronto Raptors,Indiana Pacers,Toronto Raptors @ Indiana Pacers,0
101293,2025-02-26,Toronto Raptors @ Indiana Pacers,Toronto Raptors,Indiana Pacers,Toronto Raptors @ Indiana Pacers,0.0125
100897,2025-02-28,Brooklyn Nets @ Detroit Pistons,Brooklyn Nets,Detroit Pistons,Brooklyn Nets @ Detroit Pistons,0
